_id,_country,_state,_st,_source_loc,_source_location,_source_subloc,_source_sublocation,_url,_long,_lat,_last_touch,_count,_check_me,_accuracy,_freq_per_day,_ratio_for_today,_ratio_for_yesterday,_num_new_links_last_scrape,_location_object,_lo_country,_lo_state,_lo_metro,_lo_county,_lo_city,_lo_locality,_lo_zip
1,USA,Alabama,AL,auburn,auburn,,,auburn.craigslist.org,-85.48078,32.60986,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-COG-AUA"", ""success"": true, ""metro"": ""USA-COG"", ""country"": ""USA"", ""zipcode"": ""USA-36830"", ""county"": ""USA-AL-LLE"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-COG,USA-AL-LLE,USA-COG-AUA,,USA-36830
2,USA,Alabama,AL,bham,birmingham,,,bham.craigslist.org,-86.80249,33.52066,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-AL-BIR"", ""success"": true, ""metro"": ""USA-BIR"", ""country"": ""USA"", ""zipcode"": ""USA-35203"", ""county"": ""USA-AL-JEF"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-BIR,USA-AL-JEF,USA-AL-BIR,,USA-35203
3,USA,Alabama,AL,dothan,dothan,,,dothan.craigslist.org,-85.39049,31.22323,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-DOT-DOT"", ""success"": true, ""metro"": ""USA-DOT"", ""country"": ""USA"", ""zipcode"": ""USA-36301"", ""county"": ""USA-AL-HOS"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-DOT,USA-AL-HOS,USA-DOT-DOT,,USA-36301
4,USA,Alabama,AL,shoals,florence / muscle shoals,,,shoals.craigslist.org,-87.66753,34.74481,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-FOA-MUS"", ""success"": true, ""metro"": ""USA-FOA"", ""country"": ""USA"", ""zipcode"": ""USA-35661"", ""county"": ""USA-AL-COL"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-FOA,USA-AL-COL,USA-FOA-MUS,,USA-35661
5,USA,Alabama,AL,gadsden,gadsden-anniston,,,gadsden.craigslist.org,-85.4031,32.98077,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-ATL-LAF"", ""success"": true, ""metro"": ""USA-ATL"", ""country"": ""USA"", ""zipcode"": ""USA-36862"", ""county"": ""USA-AL-CHM"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-ATL,USA-AL-CHM,USA-ATL-LAF,,USA-36862
6,USA,Alabama,AL,huntsville,huntsville / decatur,,,huntsville.craigslist.org,-86.98334,34.60593,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-HUS-DEC"", ""success"": true, ""metro"": ""USA-HUS"", ""country"": ""USA"", ""zipcode"": ""USA-35601"", ""county"": ""USA-AL-MOR"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-HUS,USA-AL-MOR,USA-HUS-DEC,,USA-35601
7,USA,Alabama,AL,mobile,mobile,,,mobile.craigslist.org,-88.04305,30.69436,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-MOI-MOB"", ""success"": true, ""metro"": ""USA-MOI"", ""locality"": ""USA-MOI-CEN"", ""country"": ""USA"", ""zipcode"": ""USA-36602"", ""county"": ""USA-AL-MOB"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-MOI,USA-AL-MOB,USA-MOI-MOB,,USA-36602
8,USA,Alabama,AL,montgomery,montgomery,,,montgomery.craigslist.org,-86.29997,32.36681,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-MOG-MON"", ""success"": true, ""metro"": ""USA-MOG"", ""country"": ""USA"", ""zipcode"": ""USA-36104"", ""county"": ""USA-AL-MOT"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-MOG,USA-AL-MOT,USA-MOG-MON,,USA-36104
9,USA,Alabama,AL,tuscaloosa,tuscaloosa,,,tuscaloosa.craigslist.org,-87.56917,33.20984,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-TUS-TUS"", ""success"": true, ""metro"": ""USA-TUS"", ""country"": ""USA"", ""zipcode"": ""USA-35401"", ""county"": ""USA-AL-TUS"", ""state"": ""USA-AL""}]",USA,USA-AL,USA-TUS,USA-AL-TUS,USA-TUS-TUS,,USA-35401
10,USA,Alaska,AK,anchorage,anchorage / mat-su,,,anchorage.craigslist.org,-149.88742,61.19208,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-ANC-ANC"", ""success"": true, ""metro"": ""USA-ANC"", ""locality"": ""USA-ANC-MIT"", ""country"": ""USA"", ""zipcode"": ""USA-99503"", ""county"": ""USA-AK-ANH"", ""state"": ""USA-AK""}]",USA,USA-AK,USA-ANC,USA-AK-ANH,USA-ANC-ANC,,USA-99503
11,USA,Alaska,AK,fairbanks,fairbanks,,,fairbanks.craigslist.org,-147.71638,64.83778,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-FAB-FAI"", ""success"": true, ""metro"": ""USA-FAB"", ""country"": ""USA"", ""zipcode"": ""USA-99701"", ""county"": ""USA-AK-FAI"", ""state"": ""USA-AK""}]",USA,USA-AK,USA-FAB,USA-AK-FAI,USA-FAB-FAI,,USA-99701
12,USA,Alaska,AK,kenai,kenai peninsula,,,kenai.craigslist.org,-151.25833,60.55444,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""city"": ""USA-AK-KEN"", ""success"": true, ""country"": ""USA"", ""zipcode"": ""USA-99611"", ""county"": ""USA-AK-KEA"", ""state"": ""USA-AK""}]",USA,USA-AK,,USA-AK-KEA,USA-AK-KEN,,USA-99611
13,USA,Alaska,AK,juneau,southeast alaska,,,juneau.craigslist.org,-154.49306,63.58875,5/10/13 2:54,0,Y,1,24,100,25,0,"[{""county"": ""USA-AK-YUK"", ""country"": ""USA"", ""state"": ""USA-AK"", ""success"": true}]",USA,USA-AK,,USA-AK-YUK,,,
